Date and Time,FI_FX001_FIT001_PV,FI_LX001_LIT001_PV,FI_QX001_QIT001_PV,FI_PX001_PIT001_PV,Stage,Cyclic Backwash Setpoint,Filter Time in Service,Time to Backwash
12/01/2024 10:59,6.65134,5.24732,0.10966,8.01638,FILTERING,1579,26,1553
12/01/2024 11:00,6.98867,5.25612,0.113,7.61753,FILTERING,1579,27,1552
12/01/2024 11:01,6.82518,5.26833,0.10937,8.00501,FILTERING,1579,28,1551
12/01/2024 11:02,6.91852,5.2581,0.11266,7.58904,FILTERING,1579,29,1550
12/01/2024 11:03,6.88784,5.25369,0.11281,7.88146,FILTERING,1579,30,1549
12/01/2024 11:04,7.40973,5.25357,0.11436,8.27895,FILTERING,1579,31,1548
12/01/2024 11:05,7.06742,5.24358,0.11114,8.22146,FILTERING,1579,32,1547
12/01/2024 11:06,6.88918,5.26334,0.11295,7.99882,FILTERING,1579,33,1546
12/01/2024 11:07,7.29557,5.25585,0.11543,7.71312,FILTERING,1579,34,1545
12/01/2024 11:08,6.91697,5.25522,0.1112,8.21,FILTERING,1579,35,1544
12/01/2024 11:09,7.23271,5.28239,0.10994,8.03236,FILTERING,1579,36,1543
12/01/2024 11:10,6.82853,5.25943,0.10952,7.34013,FILTERING,1579,37,1542
12/01/2024 11:11,6.98406,5.25122,0.11351,8.28014,FILTERING,1579,38,1541
12/01/2024 11:12,7.31802,5.25401,0.1097,8.04665,FILTERING,1579,39,1540
12/01/2024 11:13,7.45499,5.2668,0.11205,8.42267,FILTERING,1579,40,1539
12/01/2024 11:14,7.36991,5.25871,0.11334,7.7408,FILTERING,1579,41,1538
12/01/2024 11:15,7.34054,5.24648,0.11303,7.12325,FILTERING,1579,42,1537
12/01/2024 11:16,7.33116,5.26553,0.11345,8.1663,FILTERING,1579,43,1536
12/01/2024 11:17,7.12306,5.25302,0.11319,8.17578,FILTERING,1579,44,1535
12/01/2024 11:18,7.30186,5.27355,0.11482,7.58627,FILTERING,1579,45,1534
12/01/2024 11:19,7.38042,5.26739,0.11151,7.80452,FILTERING,1579,46,1533
12/01/2024 11:20,7.71034,5.25536,0.11195,8.92865,FILTERING,1579,47,1532
12/01/2024 11:21,7.59367,5.26938,0.11183,8.01386,FILTERING,1579,48,1531
12/01/2024 11:22,7.19801,5.25986,0.11424,8.32771,FILTERING,1579,49,1530
12/01/2024 11:23,7.64074,5.26633,0.11435,7.91554,FILTERING,1579,50,1529
12/01/2024 11:24,7.52385,5.26357,0.11367,7.4854,FILTERING,1579,51,1528
12/01/2024 11:25,7.49005,5.25312,0.11476,8.06262,FILTERING,1579,52,1527
12/01/2024 11:26,7.77196,5.25493,0.1112,8.03466,FILTERING,1579,53,1526
12/01/2024 11:27,7.87963,5.2685,0.11544,7.99448,FILTERING,1579,54,1525
12/01/2024 11:28,7.8831,5.25778,0.11519,8.07961,FILTERING,1579,55,1524
12/01/2024 11:29,7.55202,5.25741,0.11396,8.19231,FILTERING,1579,56,1523
12/01/2024 11:30,7.68065,5.25319,0.11548,8.06649,FILTERING,1579,57,1522
12/01/2024 11:31,7.83096,5.26441,0.11026,7.73031,FILTERING,1579,58,1521
12/01/2024 11:32,7.98162,5.27771,0.1119,8.25285,FILTERING,1579,59,1520
12/01/2024 11:33,7.71207,5.25286,0.11151,7.51916,FILTERING,1579,60,1519
12/01/2024 11:34,7.79174,5.26178,0.11361,7.48536,FILTERING,1579,61,1518
12/01/2024 11:35,7.62815,5.27308,0.11086,8.31825,FILTERING,1579,62,1517
12/01/2024 11:36,7.6303,5.26133,0.11348,8.24416,FILTERING,1579,63,1516
12/01/2024 11:37,8.05173,5.26578,0.11429,8.06994,FILTERING,1579,64,1515
12/01/2024 11:38,8.17972,5.25385,0.11317,7.66319,FILTERING,1579,65,1514
12/01/2024 11:39,7.91287,5.26596,0.11244,7.8637,FILTERING,1579,66,1513
12/01/2024 11:40,8.14634,5.26123,0.1104,7.99108,FILTERING,1579,67,1512
12/01/2024 11:41,8.03586,5.2708,0.11048,7.58458,FILTERING,1579,68,1511
12/01/2024 11:42,7.85197,5.2726,0.11349,7.8347,FILTERING,1579,69,1510
12/01/2024 11:43,8.07026,5.28401,0.11264,8.24481,FILTERING,1579,70,1509
12/01/2024 11:44,8.32212,5.26812,0.11126,8.46965,FILTERING,1579,71,1508
12/01/2024 11:45,8.02342,5.26628,0.11054,7.90765,FILTERING,1579,72,1507
12/01/2024 11:46,8.35911,5.26541,0.10796,8.25213,FILTERING,1579,73,1506
12/01/2024 11:47,7.53736,5.26122,0.10923,7.44238,FILTERING,1579,74,1505
12/01/2024 11:48,8.24033,5.26694,0.11352,8.20557,FILTERING,1579,75,1504
12/01/2024 11:49,8.10753,5.26206,0.10856,7.75743,FILTERING,1579,76,1503
12/01/2024 11:50,8.04401,5.26596,0.11057,8.08145,FILTERING,1579,77,1502
12/01/2024 11:51,8.13537,5.27534,0.11161,7.90534,FILTERING,1579,78,1501
12/01/2024 11:52,7.73222,5.25694,0.10802,8.366,FILTERING,1579,79,1500
12/01/2024 11:53,8.09802,5.2743,0.10998,7.69759,FILTERING,1579,80,1499
12/01/2024 11:54,8.22512,5.2759,0.1109,8.13807,FILTERING,1579,81,1498
12/01/2024 11:55,8.46051,5.26461,0.10931,7.85567,FILTERING,1579,82,1497
12/01/2024 11:56,8.07202,5.24877,0.11337,7.88165,FILTERING,1579,83,1496
12/01/2024 11:57,8.02422,5.26107,0.10635,7.8635,FILTERING,1579,84,1495
12/01/2024 11:58,8.0953,5.2765,0.11022,7.6544,FILTERING,1579,85,1494
12/01/2024 11:59,8.38797,5.26612,0.10815,7.89325,FILTERING,1579,86,1493
12/01/2024 12:00,8.27937,5.2585,0.10934,7.86804,FILTERING,1579,87,1492
12/01/2024 12:01,8.1159,5.26264,0.10861,7.94854,FILTERING,1579,88,1491
12/01/2024 12:02,8.33222,5.2736,0.10661,7.89086,FILTERING,1579,89,1490
12/01/2024 12:03,8.25619,5.27143,0.10782,8.09428,FILTERING,1579,90,1489
12/01/2024 12:04,8.4372,5.26534,0.10445,8.12136,FILTERING,1579,91,1488
12/01/2024 12:05,8.10924,5.2645,0.10789,7.51862,FILTERING,1579,92,1487
12/01/2024 12:06,8.18979,5.26449,0.10719,8.08403,FILTERING,1579,93,1486
12/01/2024 12:07,8.18206,5.26043,0.10746,7.45721,FILTERING,1579,94,1485
12/01/2024 12:08,7.97242,5.28092,0.10784,7.97932,FILTERING,1579,95,1484
12/01/2024 12:09,8.32848,5.26561,0.10655,7.97889,FILTERING,1579,96,1483
12/01/2024 12:10,8.32507,5.27811,0.10598,7.20976,FILTERING,1579,97,1482
12/01/2024 12:11,8.27698,5.28073,0.10418,7.80144,FILTERING,1579,98,1481
12/01/2024 12:12,8.23162,5.27673,0.10418,7.62361,FILTERING,1579,99,1480
12/01/2024 12:13,7.99752,5.26548,0.10678,7.52738,FILTERING,1579,100,1479
12/01/2024 12:14,8.19801,5.27235,0.1069,8.15138,FILTERING,1579,101,1478
12/01/2024 12:15,8.21463,5.26911,0.10414,7.54143,FILTERING,1579,102,1477
12/01/2024 12:16,8.12323,5.26227,0.10432,7.48733,FILTERING,1579,103,1476
12/01/2024 12:17,8.25142,5.27228,0.10264,7.74398,FILTERING,1579,104,1475
12/01/2024 12:18,8.36397,5.26044,0.10551,7.91932,FILTERING,1579,105,1474
12/01/2024 12:19,8.65937,5.27956,0.1045,7.66389,FILTERING,1579,106,1473
12/01/2024 12:20,8.3155,5.26653,0.10617,8.04941,FILTERING,1579,107,1472
12/01/2024 12:21,8.33003,5.27204,0.10169,7.85231,FILTERING,1579,108,1471
12/01/2024 12:22,8.26106,5.27288,0.1022,7.03348,FILTERING,1579,109,1470
12/01/2024 12:23,7.88911,5.26873,0.10288,7.52248,FILTERING,1579,110,1469
12/01/2024 12:24,8.26397,5.27568,0.10326,7.50758,FILTERING,1579,111,1468
12/01/2024 12:25,8.27722,5.26738,0.10173,7.81523,FILTERING,1579,112,1467
12/01/2024 12:26,8.75322,5.27833,0.10051,6.87975,FILTERING,1579,113,1466
12/01/2024 12:27,8.21699,5.26078,0.10292,8.42817,FILTERING,1579,114,1465
12/01/2024 12:28,8.31016,5.27275,0.10245,7.81956,FILTERING,1579,115,1464
12/01/2024 12:29,8.23679,5.28743,0.09977,7.70222,FILTERING,1579,116,1463
12/01/2024 12:30,8.00338,5.2641,0.10296,8.00989,FILTERING,1579,117,1462
12/01/2024 12:31,8.45857,5.26687,0.10247,8.35693,FILTERING,1579,118,1461
12/01/2024 12:32,8.37279,5.27659,0.1007,7.91403,FILTERING,1579,119,1460
12/01/2024 12:33,8.37251,5.2741,0.10042,7.93701,FILTERING,1579,120,1459
12/01/2024 12:34,8.02384,5.27566,0.10093,7.69173,FILTERING,1579,121,1458
12/01/2024 12:35,8.47721,5.27695,0.09861,7.61082,FILTERING,1579,122,1457
12/01/2024 12:36,7.90672,5.2783,0.09975,7.51191,FILTERING,1579,123,1456
12/01/2024 12:37,8.29442,5.28229,0.0963,7.40881,FILTERING,1579,124,1455
12/01/2024 12:38,8.60463,5.27687,0.10066,7.45316,FILTERING,1579,125,1454
12/01/2024 12:39,7.95744,5.27185,0.09683,7.25736,FILTERING,1579,126,1453
12/01/2024 12:40,8.03082,5.27934,0.10125,7.64367,FILTERING,1579,127,1452
12/01/2024 12:41,8.15208,5.28935,0.09834,7.16559,FILTERING,1579,128,1451
12/01/2024 12:42,8.01906,5.27327,0.09836,7.73349,FILTERING,1579,129,1450
12/01/2024 12:43,7.79676,5.26672,0.09759,7.6712,FILTERING,1579,130,1449
12/01/2024 12:44,8.10729,5.28356,0.09795,7.73273,FILTERING,1579,131,1448
12/01/2024 12:45,7.86735,5.27393,0.10037,7.53924,FILTERING,1579,132,1447
12/01/2024 12:46,8.16031,5.25769,0.09438,8.62684,FILTERING,1579,133,1446
12/01/2024 12:47,7.86704,5.28204,0.0999,8.1204,FILTERING,1579,134,1445
12/01/2024 12:48,8.34581,5.27116,0.09838,7.34827,FILTERING,1579,135,1444
12/01/2024 12:49,7.86363,5.2749,0.09595,7.80144,FILTERING,1579,136,1443
12/01/2024 12:50,7.93989,5.27847,0.09604,7.5598,FILTERING,1579,137,1442
12/01/2024 12:51,8.1506,5.27752,0.10008,7.44916,FILTERING,1579,138,1441
12/01/2024 12:52,7.7249,5.28186,0.09605,7.36347,FILTERING,1579,139,1440
12/01/2024 12:53,7.99932,5.27288,0.09566,7.90782,FILTERING,1579,140,1439
12/01/2024 12:54,8.19759,5.28065,0.09902,7.58708,FILTERING,1579,141,1438
12/01/2024 12:55,7.5966,5.27466,0.09776,8.09585,FILTERING,1579,142,1437
12/01/2024 12:56,7.93655,5.28283,0.09579,8.11831,FILTERING,1579,143,1436
12/01/2024 12:57,7.93272,5.28202,0.09747,8.24769,FILTERING,1579,144,1435
12/01/2024 12:58,8.01784,5.2698,0.09556,7.5958,FILTERING,1579,145,1434
12/01/2024 12:59,7.59443,5.28616,0.09871,8.01077,FILTERING,1579,146,1433
12/01/2024 13:00,7.55769,5.27336,0.09863,8.07518,FILTERING,1579,147,1432
12/01/2024 13:01,7.90575,5.2843,0.09781,7.76111,FILTERING,1579,148,1431
12/01/2024 13:02,7.83997,5.28096,0.09755,7.69038,FILTERING,1579,149,1430
12/01/2024 13:03,7.80951,5.29291,0.09964,8.42394,FILTERING,1579,150,1429
12/01/2024 13:04,7.80719,5.2766,0.097,8.0291,FILTERING,1579,151,1428
12/01/2024 13:05,7.58002,5.27577,0.09524,8.17202,FILTERING,1579,152,1427
12/01/2024 13:06,7.74026,5.2786,0.09771,7.75556,FILTERING,1579,153,1426
12/01/2024 13:07,7.72986,5.27651,0.10019,7.65793,FILTERING,1579,154,1425
12/01/2024 13:08,7.50547,5.28552,0.09558,7.87498,FILTERING,1579,155,1424
12/01/2024 13:09,7.99826,5.26637,0.0966,8.03126,FILTERING,1579,156,1423
12/01/2024 13:10,7.69632,5.27105,0.09782,7.77238,FILTERING,1579,157,1422
12/01/2024 13:11,7.33942,5.27112,0.09717,8.1124,FILTERING,1579,158,1421
12/01/2024 13:12,7.6848,5.28745,0.09584,7.63301,FILTERING,1579,159,1420
12/01/2024 13:13,7.33406,5.29372,0.09907,7.82826,FILTERING,1579,160,1419
12/01/2024 13:14,7.66163,5.27938,0.10095,8.39073,FILTERING,1579,161,1418
12/01/2024 13:15,7.71085,5.27904,0.09786,8.39625,FILTERING,1579,162,1417
12/01/2024 13:16,7.28963,5.28114,0.0963,8.12364,FILTERING,1579,163,1416
12/01/2024 13:17,7.62079,5.29005,0.09544,7.9624,FILTERING,1579,164,1415
12/01/2024 13:18,7.48476,5.27352,0.09826,7.98644,FILTERING,1579,165,1414
12/01/2024 13:19,7.54043,5.28303,0.09965,8.21001,FILTERING,1579,166,1413
12/01/2024 13:20,7.72894,5.28911,0.09883,8.54305,FILTERING,1579,167,1412
12/01/2024 13:21,7.27382,5.2855,0.09824,8.65624,FILTERING,1579,168,1411
12/01/2024 13:22,7.14522,5.28318,0.0975,8.25721,FILTERING,1579,169,1410
12/01/2024 13:23,7.09089,5.28986,0.09689,8.08884,FILTERING,1579,170,1409
12/01/2024 13:24,7.07824,5.2604,0.09993,8.54427,FILTERING,1579,171,1408
12/01/2024 13:25,7.19836,5.28763,0.10021,8.24617,FILTERING,1579,172,1407
12/01/2024 13:26,7.25418,5.27716,0.09668,8.36732,FILTERING,1579,173,1406
12/01/2024 13:27,7.21324,5.26793,0.10155,8.95019,FILTERING,1579,174,1405
12/01/2024 13:28,7.2951,5.28684,0.1002,8.83078,FILTERING,1579,175,1404
12/01/2024 13:29,7.10383,5.29392,0.10162,8.66028,FILTERING,1579,176,1403
12/01/2024 13:30,7.36332,5.28202,0.0977,8.26173,FILTERING,1579,177,1402
12/01/2024 13:31,6.99089,5.29092,0.09785,8.7373,FILTERING,1579,178,1401
12/01/2024 13:32,7.5589,5.29637,0.09987,9.02341,FILTERING,1579,179,1400
12/01/2024 13:33,7.11087,5.29418,0.10105,8.62276,FILTERING,1579,180,1399
12/01/2024 13:34,6.78503,5.29696,0.1032,9.17173,FILTERING,1579,181,1398
12/01/2024 13:35,6.71286,5.28995,0.10177,9.18524,FILTERING,1579,182,1397
12/01/2024 13:36,6.99397,5.2848,0.10056,9.32762,FILTERING,1579,183,1396
12/01/2024 13:37,6.82308,5.27156,0.09961,8.9512,FILTERING,1579,184,1395
12/01/2024 13:38,6.98076,5.28259,0.10321,9.06698,FILTERING,1579,185,1394
12/01/2024 13:39,6.90268,5.27799,0.10015,9.34616,FILTERING,1579,186,1393
12/01/2024 13:40,6.76342,5.30228,0.10427,9.08724,FILTERING,1579,187,1392
12/01/2024 13:41,6.57849,5.28369,0.10163,8.83372,FILTERING,1579,188,1391
12/01/2024 13:42,6.41465,5.28626,0.10468,8.88054,FILTERING,1579,189,1390
12/01/2024 13:43,6.598,5.28987,0.10355,9.1176,FILTERING,1579,190,1389
12/01/2024 13:44,6.8282,5.28598,0.10256,8.6897,FILTERING,1579,191,1388
12/01/2024 13:45,6.66928,5.29937,0.10223,9.0646,FILTERING,1579,192,1387
12/01/2024 13:46,6.3468,5.28101,0.10274,9.46712,FILTERING,1579,193,1386
12/01/2024 13:47,6.60002,5.28773,0.10414,8.51119,FILTERING,1579,194,1385
12/01/2024 13:48,6.61183,5.28041,0.10386,9.65915,FILTERING,1579,195,1384
12/01/2024 13:49,6.32735,5.27597,0.10311,9.56557,FILTERING,1579,196,1383
12/01/2024 13:50,6.50419,5.28181,0.104,9.12077,FILTERING,1579,197,1382
12/01/2024 13:51,6.4544,5.28659,0.10462,9.45132,FILTERING,1579,198,1381
12/01/2024 13:52,6.18346,5.28363,0.10156,9.31862,FILTERING,1579,199,1380
12/01/2024 13:53,6.4529,5.2817,0.10569,9.71578,FILTERING,1579,200,1379
12/01/2024 13:54,6.46279,5.27617,0.10378,9.67042,FILTERING,1579,201,1378
12/01/2024 13:55,6.53656,5.28693,0.10377,8.98413,FILTERING,1579,202,1377
12/01/2024 13:56,6.50004,5.27573,0.10322,9.60857,FILTERING,1579,203,1376
12/01/2024 13:57,5.9831,5.29403,0.10331,9.39861,FILTERING,1579,204,1375
12/01/2024 13:58,6.04046,5.28879,0.10422,9.51273,FILTERING,1579,205,1374
12/01/2024 13:59,6.30048,5.27664,0.10544,9.29667,FILTERING,1579,206,1373
12/01/2024 14:00,6.26972,5.28601,0.10968,10.06644,FILTERING,1579,207,1372
12/01/2024 14:01,6.23952,5.28264,0.1062,9.88052,FILTERING,1579,208,1371
12/01/2024 14:02,6.87668,5.29139,0.1075,9.37269,FILTERING,1579,209,1370
12/01/2024 14:03,6.19001,5.29974,0.10807,9.21997,FILTERING,1579,210,1369
12/01/2024 14:04,6.27273,5.27419,0.10791,9.52998,FILTERING,1579,211,1368
12/01/2024 14:05,6.20629,5.29029,0.10783,9.80095,FILTERING,1579,212,1367
12/01/2024 14:06,6.11574,5.28826,0.10638,9.76715,FILTERING,1579,213,1366
12/01/2024 14:07,5.89249,5.29509,0.11058,10.09509,FILTERING,1579,214,1365
12/01/2024 14:08,6.07753,5.2916,0.11134,9.97976,FILTERING,1579,215,1364
12/01/2024 14:09,5.74149,5.28405,0.10633,10.05684,FILTERING,1579,216,1363
12/01/2024 14:10,5.81915,5.28769,0.10754,9.88676,FILTERING,1579,217,1362
12/01/2024 14:11,5.74003,5.28405,0.10887,9.3942,FILTERING,1579,218,1361
12/01/2024 14:12,5.82421,5.29921,0.10805,9.7741,FILTERING,1579,219,1360
12/01/2024 14:13,6.24166,5.29094,0.11046,10.17219,FILTERING,1579,220,1359
12/01/2024 14:14,5.37632,5.30616,0.10881,9.8596,FILTERING,1579,221,1358
12/01/2024 14:15,5.85825,5.29064,0.11335,10.04641,FILTERING,1579,222,1357
12/01/2024 14:16,5.36985,5.28563,0.11208,9.81982,FILTERING,1579,223,1356
12/01/2024 14:17,5.56958,5.27936,0.1108,9.62598,FILTERING,1579,224,1355
12/01/2024 14:18,5.85353,5.27722,0.1122,9.91693,FILTERING,1579,225,1354
12/01/2024 14:19,5.62056,5.27915,0.11249,10.06519,FILTERING,1579,226,1353
12/01/2024 14:20,5.36433,5.29413,0.11015,9.79385,FILTERING,1579,227,1352
12/01/2024 14:21,5.40921,5.29624,0.10994,9.93745,FILTERING,1579,228,1351
12/01/2024 14:22,5.6608,5.2797,0.11144,9.74347,FILTERING,1579,229,1350
12/01/2024 14:23,5.35164,5.29968,0.11276,10.37776,FILTERING,1579,230,1349
12/01/2024 14:24,5.51407,5.28883,0.11183,9.96988,FILTERING,1579,231,1348
12/01/2024 14:25,5.4532,5.29404,0.10939,10.50982,FILTERING,1579,232,1347
12/01/2024 14:26,5.28732,5.30594,0.11068,10.54795,FILTERING,1579,233,1346
12/01/2024 14:27,5.82024,5.30039,0.1119,10.0799,FILTERING,1579,234,1345
12/01/2024 14:28,5.49231,5.29124,0.11201,9.81614,FILTERING,1579,235,1344
12/01/2024 14:29,4.93484,5.28643,0.1152,9.50694,FILTERING,1579,236,1343
12/01/2024 14:30,5.35177,5.27652,0.11026,9.70472,FILTERING,1579,237,1342
12/01/2024 14:31,5.15702,5.28816,0.1132,9.7474,FILTERING,1579,238,1341
12/01/2024 14:32,5.43505,5.29239,0.11476,10.58592,FILTERING,1579,239,1340
12/01/2024 14:33,5.08154,5.28636,0.11602,10.21956,FILTERING,1579,240,1339
12/01/2024 14:34,5.19287,5.29338,0.11208,10.31376,FILTERING,1579,241,1338
12/01/2024 14:35,5.2929,5.29521,0.11349,9.54246,FILTERING,1579,242,1337
12/01/2024 14:36,5.34146,5.29297,0.11366,9.86055,FILTERING,1579,243,1336
12/01/2024 14:37,4.90496,5.28974,0.11315,10.49709,FILTERING,1579,244,1335
12/01/2024 14:38,5.05516,5.29647,0.11275,10.3277,FILTERING,1579,245,1334
12/01/2024 14:39,5.00445,5.29882,0.11359,10.2079,FILTERING,1579,246,1333
12/01/2024 14:40,4.94648,5.28674,0.10917,10.43161,FILTERING,1579,247,1332
12/01/2024 14:41,5.40829,5.30692,0.11401,10.76273,FILTERING,1579,248,1331
12/01/2024 14:42,5.11459,5.29501,0.11319,10.21524,FILTERING,1579,249,1330
12/01/2024 14:43,4.76017,5.29613,0.11267,10.31169,FILTERING,1579,250,1329
12/01/2024 14:44,5.17503,5.30181,0.11607,10.35776,FILTERING,1579,251,1328
12/01/2024 14:45,5.39536,5.29818,0.11197,11.02651,FILTERING,1579,252,1327
12/01/2024 14:46,5.15727,5.30411,0.11236,9.68777,FILTERING,1579,253,1326
12/01/2024 14:47,4.62712,5.29896,0.11592,10.53107,FILTERING,1579,254,1325
12/01/2024 14:48,4.81474,5.29193,0.11165,10.30004,FILTERING,1579,255,1324
12/01/2024 14:49,5.14595,5.29989,0.11203,10.51276,FILTERING,1579,256,1323
12/01/2024 14:50,4.73241,5.28802,0.11259,10.15365,FILTERING,1579,257,1322
12/01/2024 14:51,4.94447,5.29821,0.11401,10.34421,FILTERING,1579,258,1321
12/01/2024 14:52,4.9928,5.29724,0.11299,10.5803,FILTERING,1579,259,1320
12/01/2024 14:53,4.63506,5.29602,0.11067,11.30866,FILTERING,1579,260,1319
12/01/2024 14:54,4.79151,5.29682,0.11173,10.62509,FILTERING,1579,261,1318
12/01/2024 14:55,4.13855,5.28296,0.11153,10.13614,FILTERING,1579,262,1317
12/01/2024 14:56,4.56573,5.2938,0.11223,10.27132,FILTERING,1579,263,1316
12/01/2024 14:57,4.70432,5.2991,0.11288,10.27035,FILTERING,1579,264,1315
12/01/2024 14:58,4.48992,5.29981,0.11276,9.87566,FILTERING,1579,265,1314
12/01/2024 14:59,5.05104,5.29048,0.10935,10.32339,FILTERING,1579,266,1313
12/01/2024 15:00,4.42404,5.30899,0.11348,10.65043,FILTERING,1579,267,1312
12/01/2024 15:01,4.608,5.2921,0.11213,10.05659,FILTERING,1579,268,1311
12/01/2024 15:02,4.70854,5.30696,0.11369,10.76184,FILTERING,1579,269,1310
12/01/2024 15:03,4.95747,5.30279,0.11214,10.60223,FILTERING,1579,270,1309
12/01/2024 15:04,4.36932,5.29437,0.11297,10.24442,FILTERING,1579,271,1308
12/01/2024 15:05,4.87684,5.31391,0.11186,10.43123,FILTERING,1579,272,1307
12/01/2024 15:06,4.63443,5.29033,0.11302,10.96243,FILTERING,1579,273,1306
12/01/2024 15:07,4.42471,5.3074,0.11162,10.7125,FILTERING,1579,274,1305
12/01/2024 15:08,4.70252,5.30822,0.11051,10.50485,FILTERING,1579,275,1304
12/01/2024 15:09,4.63946,5.29501,0.11389,10.441,FILTERING,1579,276,1303
12/01/2024 15:10,4.46961,5.31169,0.11162,10.5457,FILTERING,1579,277,1302
12/01/2024 15:11,4.59409,5.29871,0.11096,10.37995,FILTERING,1579,278,1301
12/01/2024 15:12,4.49401,5.30319,0.10799,9.91318,FILTERING,1579,279,1300
12/01/2024 15:13,4.58519,5.30313,0.10777,11.16878,FILTERING,1579,280,1299
12/01/2024 15:14,4.6868,5.30014,0.10994,10.61466,FILTERING,1579,281,1298
12/01/2024 15:15,4.86394,5.30787,0.1095,10.69988,FILTERING,1579,282,1297
12/01/2024 15:16,4.29201,5.30789,0.10815,10.57589,FILTERING,1579,283,1296
12/01/2024 15:17,4.9595,5.28772,0.10907,10.38603,FILTERING,1579,284,1295
12/01/2024 15:18,4.13627,5.31231,0.11101,10.56458,FILTERING,1579,285,1294
12/01/2024 15:19,4.4906,5.28874,0.10945,10.15486,FILTERING,1579,286,1293
12/01/2024 15:20,4.63338,5.31047,0.10647,11.33265,FILTERING,1579,287,1292
12/01/2024 15:21,4.56716,5.31139,0.10778,10.29458,FILTERING,1579,288,1291
12/01/2024 15:22,4.38215,5.29381,0.1065,10.37133,FILTERING,1579,289,1290
12/01/2024 15:23,4.46128,5.29942,0.10689,10.56542,FILTERING,1579,290,1289
12/01/2024 15:24,4.40101,5.29403,0.10661,11.10111,FILTERING,1579,291,1288
12/01/2024 15:25,4.37892,5.30132,0.10627,10.73685,FILTERING,1579,292,1287
12/01/2024 15:26,4.66439,5.30074,0.10486,10.38012,FILTERING,1579,293,1286
12/01/2024 15:27,4.56404,5.3096,0.10631,11.14639,FILTERING,1579,294,1285
12/01/2024 15:28,4.35271,5.31401,0.10541,11.00919,FILTERING,1579,295,1284
12/01/2024 15:29,4.67035,5.31486,0.10161,10.97192,FILTERING,1579,296,1283
12/01/2024 15:30,4.55152,5.29936,0.10883,11.04632,FILTERING,1579,297,1282
12/01/2024 15:31,4.65276,5.30235,0.10714,11.57184,FILTERING,1579,298,1281
12/01/2024 15:32,4.61672,5.29072,0.10469,11.53173,FILTERING,1579,299,1280
12/01/2024 15:33,4.32609,5.2979,0.10503,10.6936,FILTERING,1579,300,1279
12/01/2024 15:34,4.38144,5.31223,0.10299,11.41096,FILTERING,1579,301,1278
12/01/2024 15:35,4.64501,5.3176,0.10704,11.0637,FILTERING,1579,302,1277
12/01/2024 15:36,4.62019,5.29496,0.10709,11.12423,FILTERING,1579,303,1276
12/01/2024 15:37,4.49698,5.30026,0.10423,10.49336,FILTERING,1579,304,1275
12/01/2024 15:38,4.52816,5.30495,0.10528,10.97727,FILTERING,1579,305,1274
